Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Power,Comment
55,PI3XDV,144.875000,,0.000000,TSQL,77.0,77.0,NFM,12.50,5.0W,"PI3XDV near Amersfoort Repeater is experimenteel, modulatiesoorten en ingangsfrequenties kunnen veranderen."
56,PI1UTR,438.425000,-,7.600000,TSQL,77.0,77.0,NFM,12.50,5.0W,"PI1UTR near IJsselstein"
57,PI1KRD,438.375000,-,7.600000,TSQL,71.9,71.9,NFM,12.50,5.0W,"PI1KRD near Kerkrade"
58,PI2HVS,438.137500,-,7.600000,Tone,77.0,77.0,NFM,12.50,5.0W,"PI2HVS near Hilversum"
59,PI2DEV,438.250000,-,7.600000,Tone,77.0,77.0,NFM,12.50,5.0W,"PI2DEV near Deventer"
60,PI1HRN,438.012500,-,7.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI1HRN near Hoorn"
61,PI2RLT,438.225000,-,7.600000,Tone,77.0,77.0,NFM,12.50,5.0W,"PI2RLT near Raalte"
62,PI2NOS,430.125000,+,1.600000,Tone,77.0,77.0,NFM,12.50,5.0W,"PI2NOS near Hoogersmilde"
63,PI2TXL,438.100000,-,7.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI2TXL near Oosterend"
64,PI2PM,438.200000,-,7.600000,TSQL,88.5,88.5,NFM,12.50,5.0W,"PI2PM near Suwald"
65,PI1DB,438.175000,-,7.600000,TSQL,71.9,71.9,NFM,12.50,5.0W,"PI1DB near 's-Hertogenbosch"
66,PI1WTH,438.337500,-,7.600000,TSQL,71.9,71.9,NFM,12.50,5.0W,"PI1WTH near Helmond"
